cand,status,iptm,ptm,complex_plddt,structure_confidence,complex_pde,complex_ipde
cand00073,succeeded,0.9686862826347351,0.9738561511039734,0.9651497602462769,0.9658570289611816,0.2896552085876465,0.38406670093536377
cand00169,succeeded,0.969306468963623,0.9742148518562317,0.9668784737586975,0.9673641324043274,0.2946075201034546,0.36458998918533325
cand00106,succeeded,0.953662097454071,0.9662114977836609,0.9683167934417725,0.9653858542442322,0.29541873931884766,0.4508967399597168
cand01347,succeeded,0.9232288002967834,0.9524789452552795,0.9592531323432922,0.9520483016967773,0.31384339928627014,0.5722148418426514
cand00150,succeeded,0.8914581537246704,0.9355953931808472,0.9637218117713928,0.9492691159248352,0.37935495376586914,1.6557637453079224
cand00224,succeeded,0.951235830783844,0.9640926718711853,0.9588252902030945,0.9573074579238892,0.2958346903324127,0.4734601378440857
cand00725,succeeded,0.9590417146682739,0.9685954451560974,0.9508415460586548,0.9524815678596497,0.3030478358268738,0.4812822639942169
cand00205,succeeded,0.9547654986381531,0.9684683680534363,0.9651069641113281,0.9630386233329773,0.30128681659698486,0.47007301449775696
cand02300,succeeded,0.932380735874176,0.9576426148414612,0.9524582028388977,0.9484427571296692,0.3118686079978943,0.5643830895423889
cand01165,succeeded,0.9366308450698853,0.9561880230903625,0.9619131088256836,0.9568566679954529,0.3159914016723633,0.47743135690689087
cand00066,succeeded,0.8214612603187561,0.9006703495979309,0.9481803178787231,0.9228364825248718,0.4278416335582733,2.9740021228790283
cand02473,succeeded,0.9366210699081421,0.9631515741348267,0.9435820579528809,0.9421898722648621,0.2842654585838318,0.42302846908569336
cand02270,succeeded,0.9666240811347961,0.9755944609642029,0.9608185887336731,0.9619796872138977,0.270669549703598,0.32902011275291443
cand02138,succeeded,0.9368235468864441,0.9623842835426331,0.9458523988723755,0.9440466165542603,0.3054738938808441,0.48519763350486755
cand02479,succeeded,0.9184684157371521,0.954096257686615,0.9290109276771545,0.9269024133682251,0.30668574571609497,0.4850921034812927
cand01918,succeeded,0.9524411559104919,0.9652488827705383,0.9708632230758667,0.9671788215637207,0.2927160859107971,0.41378509998321533
cand02441,succeeded,0.9251737594604492,0.9512667059898376,0.9542456269264221,0.9484311938285828,0.31455954909324646,0.5636588335037231
cand02170,succeeded,0.8451710939407349,0.904092013835907,0.845124363899231,0.8451337218284607,0.5065792202949524,2.061732530593872
cand01514,succeeded,0.9362787008285522,0.9564465284347534,0.9638069272041321,0.9583012461662292,0.30879640579223633,0.483245849609375
cand02117,succeeded,0.9521112442016602,0.9681124091148376,0.9552852511405945,0.9546505212783813,0.2856752872467041,0.404897540807724
cand01522,succeeded,0.9423917531967163,0.9605683088302612,0.9524827003479004,0.9504645466804504,0.29536595940589905,0.4262014627456665
cand01490,succeeded,0.9469016194343567,0.9650117754936218,0.9559463858604431,0.9541374444961548,0.2956081032752991,0.43303507566452026
cand01958,succeeded,0.9136521816253662,0.947085440158844,0.9295075535774231,0.9263364672660828,0.3314436078071594,0.6947500705718994
cand02115,succeeded,0.9451946020126343,0.9633031487464905,0.952778697013855,0.9512619376182556,0.3095785081386566,0.6308667063713074
cand01790,succeeded,0.9486343264579773,0.9629581570625305,0.9383878111839294,0.9404371380805969,0.3008951246738434,0.4657464325428009
cand02343,succeeded,0.8626813888549805,0.9292537569999695,0.9044820070266724,0.8961219191551208,0.4293553829193115,1.7055219411849976
cand02161,succeeded,0.9410184621810913,0.9611706137657166,0.9666272401809692,0.9615055322647095,0.3009725511074066,0.5013614892959595
cand02299,succeeded,0.9406841397285461,0.9583132266998291,0.9438986778259277,0.9432558417320251,0.293875515460968,0.476725310087204
cand02321,succeeded,0.9332047700881958,0.9625815153121948,0.9455554485321045,0.9430853128433228,0.31042227149009705,0.63556307554245
cand02153,succeeded,0.9430538415908813,0.9638189077377319,0.9369670152664185,0.938184380531311,0.29353559017181396,0.4124591052532196
cand01831,succeeded,0.9387669563293457,0.961211621761322,0.9441367387771606,0.9430627822875977,0.2935115098953247,0.4464763104915619
cand01838,succeeded,0.9255949258804321,0.9553060531616211,0.9556646943092346,0.949650764465332,0.3117178678512573,0.49427467584609985
cand01894,succeeded,0.9071543216705322,0.9391656517982483,0.9599658250808716,0.9494035840034485,0.3084762990474701,0.6487290263175964
cand02429,succeeded,0.929368793964386,0.9597539901733398,0.9389267563819885,0.937015175819397,0.333715558052063,0.7509998083114624
cand02286,succeeded,0.9288986325263977,0.9556759595870972,0.9371093511581421,0.9354672431945801,0.3203788697719574,0.6487278938293457
cand02269,succeeded,0.936142086982727,0.9620752334594727,0.9508213400840759,0.9478855133056641,0.29700350761413574,0.46810829639434814
cand00658,succeeded,0.8962491750717163,0.9448736906051636,0.9390785694122314,0.9305127263069153,0.33379846811294556,1.1000194549560547
cand02276,succeeded,0.6973457336425781,0.8641709685325623,0.9180843830108643,0.873936653137207,0.5082591772079468,3.409879684448242
cand01590,succeeded,0.9023420810699463,0.9406953454017639,0.9409220218658447,0.9332060217857361,0.3365762233734131,0.781167209148407
cand01320,succeeded,0.9137274026870728,0.945191502571106,0.9519265294075012,0.9442867636680603,0.36555540561676025,0.9133517742156982
cand01739,succeeded,0.9050771594047546,0.9426179528236389,0.9388702511787415,0.9321116805076599,0.3361191749572754,0.8247084617614746
cand01770,succeeded,0.9139134287834167,0.9495514035224915,0.9445110559463501,0.9383915066719055,0.3205593526363373,0.5936389565467834
cand02218,succeeded,0.9302324056625366,0.9563407301902771,0.9542964696884155,0.9494836926460266,0.2920946776866913,0.49939894676208496
cand02248,succeeded,0.9305835962295532,0.9515501260757446,0.9628780484199524,0.9564191699028015,0.31361281871795654,0.5768277049064636
cand01943,succeeded,0.9434126615524292,0.961858868598938,0.9495425224304199,0.9483165740966797,0.29225870966911316,0.40435269474983215
cand01469,succeeded,0.9291462898254395,0.9475303292274475,0.9636133909225464,0.9567199945449829,0.2979685068130493,0.5116506218910217
cand01526,succeeded,0.9207441806793213,0.943106472492218,0.9630531668663025,0.9545913934707642,0.30699747800827026,0.5812239646911621
cand01709,succeeded,0.7595786452293396,0.8889157176017761,0.9195269346237183,0.8875373005867004,0.43690812587738037,2.6976029872894287
cand02070,succeeded,0.9009053111076355,0.9427195191383362,0.9138555526733398,0.91126549243927,0.33682873845100403,0.7505313158035278
cand02050,succeeded,0.9233768582344055,0.9424639940261841,0.9635016322135925,0.955476701259613,0.308678537607193,0.49231401085853577
