cand,esm_ptm,esm_iptm,esm_plddt
cand00073,0.9542256593704224,0.9478005766868591,nan
cand00169,0.9564988613128662,0.9479714632034302,nan
cand00106,0.9567697048187256,0.9437976479530334,nan
cand01347,0.9143990874290466,0.861186683177948,nan
cand00150,0.9348746538162231,0.9042249321937561,nan
cand00224,0.9589243531227112,0.9454696178436279,nan
cand00725,0.9458121061325073,0.9222720265388489,nan
cand00205,0.938717246055603,0.9163934588432312,nan
cand02300,0.8716557025909424,0.7705920934677124,nan
cand01165,0.9269678592681885,0.8962476849555969,nan
cand00066,0.9509124159812927,0.9349356889724731,nan
cand02473,0.9228110909461975,0.8973543047904968,nan
cand02270,0.9283385276794434,0.8892549872398376,nan
cand02138,0.9023360013961792,0.8506499528884888,nan
cand02479,0.9322702884674072,0.9170749187469482,nan
cand01918,0.9483417868614197,0.9356237649917603,nan
cand02441,0.9267867207527161,0.8947274088859558,nan
cand02170,0.7578295469284058,0.5874144434928894,nan
cand01514,0.9416227340698242,0.9156433939933777,nan
cand02117,0.871678352355957,0.7606626749038696,nan
cand01522,0.933045506477356,0.8972370028495789,nan
cand01490,0.9492413401603699,0.9301251173019409,nan
cand01958,0.9099521636962891,0.8624067306518555,nan
cand02115,0.8679051399230957,0.7603923678398132,nan
cand01790,0.9299572110176086,0.8925150036811829,nan
cand02343,0.7653711438179016,0.43607863783836365,nan
cand02161,0.8572865724563599,0.7276251316070557,nan
cand02299,0.9200029969215393,0.8638289570808411,nan
cand02321,0.926443338394165,0.8829994201660156,nan
cand02153,0.8996890187263489,0.8551260828971863,nan
cand01831,0.9253632426261902,0.8860806822776794,nan
cand01838,0.9430180191993713,0.9109395742416382,nan
cand01894,0.782559335231781,0.5392047762870789,nan
cand02429,0.9460951089859009,0.9195648431777954,nan
cand02286,0.9102030992507935,0.8449081778526306,nan
cand02269,0.9052015542984009,0.8402915596961975,nan
cand00658,0.797957718372345,0.5932801365852356,nan
cand01590,0.9344022870063782,0.9060527682304382,nan
cand01320,0.7958780527114868,0.5485135316848755,nan
cand01739,0.9402502775192261,0.9091559052467346,nan
cand01770,0.8820987343788147,0.7833874225616455,nan
cand02218,0.9328709840774536,0.9113011360168457,nan
cand01526,0.8032743334770203,0.5832467675209045,nan
cand02070,0.9275844693183899,0.8902153968811035,nan
cand02248,0.9430744647979736,0.92270827293396,nan
cand01943,0.9536643624305725,0.9303569793701172,nan
cand02050,0.9231553673744202,0.9015280604362488,nan
cand01469,0.8013539910316467,0.5889865756034851,nan
